id,question,opa,opb,opc,opd,cop,choice_type,exp,subject_name,topic_name
f138d54e-2681-4e90-9b13-f5f18f1ce5c8,Normal visual acuity of 6/6 is achieved by the age of:,2 years,3 years,5 years,7 years,1,single,Ans. 3 years Full visual acuity (6/6) is attained by 3 years of age. Age Visual acuity New born 6/240 1 month 6/180- 6/90 4-6 months 618- 6/9 3 years 6/6,Ophthalmology,
ff8d6367-cb09-4b32-8e90-82aaa0fb481d,Primary feature of small intestinal obstruction -,Fever,High peristalsis with colic,Abdominal distension,Empty rectum,1,multi,,Surgery,
713c17e0-4499-4743-8aea-7066b1412eee,Regarding unicornuate uterus true is,Defect in fusion of mullerian ducts,Single uterus with 2 fallopian tubes,One duct is completely absent,Best reproductive outcome,2,multi,"Unicornuate uterus is not defect in fusion of mullerian ducts, but is due to complete absence of mullerian duct. It has worst reproductive outcome.",Gynaecology & Obstetrics,
bead378e-5abd-4b58-a926-28f13a9a6a89,Characteristic lab findings of hemophilia A are –a) ↑ PTb) ↑ aPTTc) X–linked recessived) Presence of 30% of factor level express the diseasee) Increased bleeding time,a,c,ac,bc,3,single,"Hemophilia A                                                                                                                     

Hemophilia A is due to deficiency offactor VIII.
Hemophilia 'A' is inherited as an X-linked recessive trait.
Factor VIII is an intrinsic pathway component required for activation of factor X.
Clinical manifestations are due to defect in coagulation system -


Large post-traumatic ecchymoses or hematoma
Prolonged bleeding after a laceration or any form of surgical procedure.
Bleeding into weight bearing joints.



Petechiae are characteristically absent (in contrast to platelet dysfunction where bleeding occurs from small vessels of the skin and mucous membrane, e.g. petechiae).

Laboratory findings

PIT  
Normal PT 
Normal BT     
Normal platelet counts                

Remember

Hemophilia B (Christmas disease) is due to deficiency of factor IX
Hemophilia B has clinical features and laboratory findings similar to haemophilia A.",Pediatrics,
961a48c9-787e-488f-af6e-13b41f1c47d5,What is true about HER2/neu overexpression in Ca breast,Good prognosis,Responds well to taxanes,Responds well to monoclonal antibodies,Seen only in breast cancer,2,multi,".* Tumour grade, growth factor and oncogene factors. ErbB2 -Her-2/neu positive has got poor prognosis. ErbB1 with over expression of epidermal growth factor (EGF), TGF alpha and cathepsin D has got poor prognosis. * Progesterone receptor (PR status) study or Her 2 Neu receptor status or cErb B2 (growth factor receptor study) are other studies done at present to plan the therapy and assess the prognosis. TRANSTUZUMAB (Herceptin)- * It is a monoclonal antibody that blocks HER-2/neu receptors thereby preventing growth of cancer cells. It is a new drug. It is presently marketed as herceptin. It is c-ErbB2 (growth factor receptor) inhibitor. It is a newer biological agent. * It has very little effect on HER-2/neu negative cancers. * It is useful only in HER-2/neu positive cancers. It is currently approved by FDA for use only in metastatic disease. It is given as intravenous infusion. ref:SRB&;s manual of surgery,ed 3,pg no 486",Surgery,Endocrinology and breast
378e6645-2edd-44b1-b6a8-1bed078fd856,Which one of the following is a muscle splitting incision: September 2012,Kocher's,Rutherford-Morris,Pfannensteil,Lanz,3,single,Ans. D i.e. Lanz,Surgery,
946c21b4-0df5-4a5e-8c04-0b840813a290,All are cholinergic drugs except,Memantine,Tacrine,Rivastigmine,Donepezil,0,multi,"Memantine acts on NMDA receptors .remaining all the drugs are indirectly acting cholinergicn drugs used in the treatment of alzhimers disease. Ref: KDT 6th ed pg 472,473",Pharmacology,Autonomic nervous system
752e255e-b15c-40c3-853e-952c1a94974d,Punched out appearance in skull seen in,Multiple myeloma,Thalassemia,Carcinoma lung,Hyperparathyroidism,0,single,"i.e. (Multiple myeloma): (679-Robbins 7th)MULTIPLE MYELOMA - presents as multifocal destructive bone tumours composed of plasma cells throughout the skeletal system* The bone lesions appears radiographically as punched out defects usually 1 -4 cm in diameter and grossly consists of gelatinous soft red tumour masses* Hyperparathyroidism - ""pepper pot skull"", The mandible a common site for Frown ' tumours* Moth - eaten appearance - syphilis* Rugor Jersy spine - Osteopetrosis* Beheadedscortish terrior sign - Spondylolisthesis",Medicine,Miscellaneous
b9a78603-431f-4c3e-b913-6ba3b1e15058,Antibodies to one of the following infection is not transmitted to child -,Measles,Peusis,Diphtheria,Polio,1,single,"Ans. is 'b' i.e., Peussis Protective Antibodies against peussis doe not corss plecenta. o So, early immunization is desired.",Pediatrics,
3e96e13c-17e8-4686-9b1f-b88a922ba492,All are true about radiological features of the intestinal obstruction except:,The small intestines are said to be dilated if the loops of bowel have a diameter of > 3cm.,The large bowel are said to be dilated if they are >5 cm for distal bowel and > 9 cm for proximal bowel.,Volvulus and mesenteric ischemia have characteristic signs on abdominal films.,The absence of air-fluid levels on plain supine radiographs does not rule out presence of an obstruction.,2,multi,"The various threshold levels for bowel dilation are:
Small bowel -3cm
Cecum - 9cm
Distal large bowel -6cm (some books write 5cm)
Air-fluid levels in case of obstruction are seen on 'erect' abdominal films and not on 'supine', hence their absence on supine x rays would not rule out presence of obstruction.
About option 'c' 
Its very strange to combine 2 different pathologies in one generalization. Moreover volvulus can be of many types: gastric, midgut, cecal and sigmoid.
Whereas gastric, cecal and sigmoid volvulus can have specific plain x ray appearance, the midgut volvulus picture is usually non specific.
In mesenteric ischemia plain abdominal x-rays are relatively nonspecific and may be completely normal in more than it 25 percent of patients. Findings suggestive of acute mesenteric ischemia include the presence of an ileus with distended loops of bowel, bowel wall thickening (particularly prominent in acute mesenteric venous thrombosis), and/or pneumatosis intestinalis. Multidetector computed tomographic (CT) angiography and magnetic resonance (MR) angiography can be used to diagnose mesenteric ischemia in stable patients.",Surgery,
e1814ee2-ce52-4416-9871-7ae719683367,"In colposcopy, following are visualized except :",Upper 2/3rd endocervix,Lower 1/3rd endocervix,Vault of vagina,Lateral fornix,0,multi,"Upper 2/3rd endocervix Colposcopy is a method to evaluate the changes in the terminal vascular network of the cervix, the transformation zone, Vagina and Fornix. In the cervix, upper 2/3""i of endocervix is not visualized by colposcopy (the maximum limit being 5 mm above the canal). A colposcope is a binocular microscope producing magnification of 5 - 15 times.deg Colposcopy is done after application of 3 - 5% acetic acid, to the abnormal area.deg It can detect cervical dysplasias, metaplasia and carcinoma in situ.deg Indications (very impoant) : In case of abnormal pap smear cytologydeg. To locate abnormal areas.deg To obtain directed biopsies.deg Conservative therapy under colposcopic guidance.deg For follow up of patients treated conservatively.deg Some other Indications : In case of unexplained intermenstrual or post coital bleeding. History of Inutero Diethylstilbestrol exposure. Vulva' or vaginal neoplasia. For more details on Colposcopy, see Chapter 12 B - CIN and Ca Cervix.",Gynaecology & Obstetrics,
